,,Racha,Sums all,,Probability,,,
,,,P,E,G,,,
1,Monterrey,EGGGG,0,1,4,4.2,,
2,Pachuca,EEPGE,1,3,1,-0.4,,
3,America,EPPGG,2,1,2,-1.8,,
4,León,EEGGP,1,2,2,0.4,,
5,Cruz Azul,GPPPE,3,1,1,-4.8,,
6,Santos ,PGGGE,1,1,3,1.2,,
7,U.A.N.L,EPGPE,2,2,1,-2.6,,
8,Tijuana ,EPPPP,4,1,0,-7.8,,
9,Pumas UNAM,PGGPP,3,0,2,-4,,
10,Puebla ,EGPPP,3,1,1,-4.8,,
11,Morelia ,GPGGG,1,0,4,2,,
12,Guadalajara ,GEGGG,0,1,4,4.2,,
13,Chiapas ,PPPPP,5,0,0,-10,,
14,Toluca ,PGGEE,1,2,2,0.4,,
15,Querétaro ,GPGEG,1,1,3,1.2,,
16,Veracruz ,EGPPE,2,2,1,-2.6,,
17,Atlas ,GEPPE,2,2,1,-2.6,,
18,Dorados ,PGPGE,2,1,2,-1.8,,
,,,,,,,,
Liga MX,,,,,,,,
GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS
1Monterrey,16,12,1,3,37,21,16,37
2America,16,8,4,4,33,21,12,28
3Pachuca,16,7,6,3,29,15,14,27
4León,16,8,3,5,28,19,9,27
5Santos,16,8,3,5,22,19,3,27
6Guadalajara,16,6,7,3,25,16,9,25
7Morelia,16,7,4,5,23,23,0,25
8Cruz Azul,16,5,7,4,25,21,4,22
9U.A.N.L,16,5,6,5,26,19,7,21
10Pumas UNAM,16,5,6,5,22,23,-1,21
11Toluca,16,4,7,5,18,20,-2,19
12Querétaro,16,5,4,7,20,23,-3,19
13Puebla,16,4,7,5,18,25,-7,19
14Tijuana,16,3,8,5,17,26,-9,17
15Dorados de Sinaloa,16,4,2,10,18,31,-13,14
16Veracruz,16,2,8,6,17,32,-15,14
17Atlas,16,3,4,9,18,26,-8,13
18Chiapas,16,3,3,10,15,31,-16,12
