JORNADA 9,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,,
1,Monterrey,9,7,0,2,17,10,7,21,,
2,Pachuca,9,5,3,1,18,9,9,18,,
3,León,9,5,1,3,17,12,5,16,,
4,America,9,4,3,2,18,13,5,15,,
5,U.A.N.L,9,4,2,3,17,11,6,14,,
6,Cruz Azul,9,3,5,1,19,14,5,14,,
7,Santos,9,4,2,3,11,10,1,14,,
8,Puebla,9,3,4,2,14,14,0,13,,
9,Tijuana,9,2,6,1,10,10,0,12,,
10,Chiapas,8,3,2,3,11,11,0,11,,
11,Pumas UNAM,9,2,5,2,11,11,0,11,,
12,Morelia,8,2,4,2,10,12,-2,10,,
13,Guadalajara,9,1,6,2,10,11,-1,9,,
14,Querétaro,9,2,2,5,10,14,-4,8,,
15,Atlas,9,2,2,5,9,15,-6,8,,
16,Toluca,9,1,4,4,10,16,-6,7,,
17,Veracruz,9,0,6,3,10,17,-7,6,,
18,Dorados,9,1,1,7,8,20,-12,4,,
,,,,,,,,,,,
JORNADA 10,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,,
1,Monterrey,10,8,0,2,20,11,9,24,PGGPG,
2,León,10,6,1,3,19,12,7,19,GPEGP,
3,Pachuca,10,5,3,2,20,12,8,18,GGGPE,
4,America,10,5,3,2,20,14,6,18,PGEPG,
5,Santos,10,5,2,3,14,12,2,17,GEEGE,
6,U.A.N.L,10,4,3,3,17,11,6,15,PGGEE,
7,Cruz Azul,10,3,6,1,20,15,5,15,EEPGE,
8,Tijuana,10,3,6,1,12,11,1,15,EGEEE,
9,Puebla,10,3,5,2,15,15,0,14,GEEEE,
10,Pumas UNAM,10,2,6,2,11,11,0,12,EEEEG,
11,Chiapas,9,3,2,4,12,13,-1,11,GPPPE,
12,Toluca,10,2,4,4,13,16,-3,10,GPGEE,
13,Morelia,9,2,4,3,11,15,-4,10,PEPGG,
14,Guadalajara,10,1,6,3,11,13,-2,9,EGPPP,
15,Veracruz,10,1,6,3,13,19,-6,9,EPPEE,
16,Querétaro,10,2,2,6,10,16,-6,8,PGEEP,
17,Atlas,10,2,2,6,11,18,-7,8,PPPPG,
18,Dorados,10,1,1,8,8,23,-15,4,GPEGP,
,,,,,,,,,,,
JORNADA 11,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,Racha,
1,Monterrey,11,8,0,3,21,14,7,24,PGGPG,
2,Pachuca,11,6,3,2,26,12,14,21,GPEGP,
3,America,11,6,3,2,22,15,7,21,GGGPE,
4,León,11,6,1,4,20,14,6,19,PGEPG,
5,Cruz Azul,11,4,6,1,22,15,7,18,GEEGE,
6,Santos,11,5,2,4,15,15,0,17,PGGEE,
7,U.A.N.L,11,4,4,3,17,11,6,16,EEPGE,
8,Tijuana,11,3,7,1,12,11,1,16,EGEEE,
9,Pumas UNAM,11,3,6,2,15,13,2,15,GEEEE,
10,Puebla,11,3,6,2,15,15,0,15,EEEEG,
11,Guadalajara,11,2,6,3,14,14,0,12,GPGEE,
12,Chiapas,10,3,3,4,13,14,-1,12,EPGGE,
13,Toluca,11,2,5,4,13,16,-3,11,EGPPP,
14,Morelia,10,2,4,4,13,19,-6,10,PPPEE,
15,Querétaro,11,2,3,6,11,17,-6,9,EPPEE,
16,Veracruz,11,1,6,4,13,25,-12,9,PGEEP,
17,Atlas,11,2,2,7,11,20,-9,8,PPPPG,
18,Dorados ,11,2,1,8,11,24,-13,7,GPEGP,
,,,,,,,,,,,
JORNADA 12,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,Racha,
1,Monterrey,12,9,0,3,23,15,8,27,GPGGPG,
2,America,12,7,3,2,24,15,9,24,EGPEGP,
3,Pachuca,12,6,4,2,26,12,14,22,GGGGPE,
4,Cruz Azul,12,4,7,1,22,15,7,19,PPGEPG,
5,León,12,6,1,5,21,16,5,19,EGEEGE,
6,Santos,12,5,3,4,15,15,0,18,EPGGEE,
7,U.A.N.L,12,4,5,3,19,13,6,17,EEEPGE,
8,Tijuana,12,3,7,2,14,15,-1,16,PEGEEE,
9,Morelia,12,4,4,4,17,19,-2,16,PGEEEE,
10,Guadalajara,12,3,6,3,18,14,4,15,PEEEEG,
11,Puebla,12,3,6,3,15,17,-2,15,GGPPPE,
12,Pumas UNAM,12,3,6,3,15,17,-2,15,GGPGEE,
13,Toluca,12,2,6,4,13,16,-3,12,PPEPGG,
14,Querétaro,12,3,3,6,15,19,-4,12,EEGPPP,
15,Chiapas,12,3,3,6,13,18,-5,12,GEPPEE,
16,Veracruz,12,1,7,4,13,25,-12,10,EPGEEP,
17,Atlas,12,2,3,7,13,22,-9,9,EPPPPG,
18,Dorados,12,2,2,8,11,24,-13,8,EGPEGP,
,,,,,,,,,,,
JORNADA 13,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,,
1,Monterrey,13,10,0,3,29,15,14,30,GGPGG,
2,America,13,8,3,2,30,16,14,27,GEGPE,
3,Pachuca,13,7,4,2,28,13,15,25,GGGGG,
4,León,13,7,1,5,23,17,6,22,GPPGE,
5,Santos,13,6,3,4,17,15,2,21,PEGEE,
6,Cruz Azul,13,4,7,2,22,18,4,19,GEPGG,
7,Morelia,13,5,4,4,19,20,-1,19,PEEEP,
8,Guadalajara,13,4,6,3,21,14,7,18,PPEGE,
9,U.A.N.L,13,4,5,4,20,15,5,17,PPGEE,
10,Tijuana,13,3,7,3,15,21,-6,16,PPEEE,
11,Pumas UNAM,13,3,6,4,16,19,-3,15,GGGPP,
12,Puebla,13,3,6,4,15,20,-5,15,GGGPG,
13,Toluca,13,2,7,4,13,16,-3,13,PPPEP,
14,Querétaro,13,3,4,6,15,19,-4,13,EEEGP,
15,Chiapas,13,3,3,7,13,24,-11,12,EGEPP,
16,Sinaloa,13,3,2,8,14,24,-10,11,PEPGE,
17,Veracruz,13,1,7,5,13,27,-14,10,PEPPP,
18,Atlas,13,2,3,8,14,24,-10,9,GEGPE,
,,,,,,,,,,,
JORNADA 16,,,,,,,,,,,
,GRUPO 1,PJ,G,E,P,GF,GC,DIF,PTS,,Probability
1,Monterrey,16,12,1,3,37,21,16,37,EGGGG,4.2
2,America,16,8,4,4,33,21,12,28,EEPGE,-0.4
3,Pachuca,16,7,6,3,29,15,14,27,EPPGG,-1.8
4,León,16,8,3,5,28,19,9,27,EEGGP,0.4
5,Santos,16,8,3,5,22,19,3,27,GPPPE,-4.8
6,Guadalajara,16,6,7,3,25,16,9,25,PGGGE,1.2
7,Morelia,16,7,4,5,23,23,0,25,EPGPE,-2.6
8,Cruz Azul,16,5,7,4,25,21,4,22,EPPPP,-7.8
9,U.A.N.L,16,5,6,5,26,19,7,21,PGGPP,-4
10,Pumas UNAM,16,5,6,5,22,23,-1,21,EGPPP,-4.8
11,Toluca,16,4,7,5,18,20,-2,19,GPGGG,2
12,Querétaro,16,5,4,7,20,23,-3,19,GEGGG,4.2
13,Puebla,16,4,7,5,18,25,-7,19,PPPPP,-10
14,Tijuana,16,3,8,5,17,26,-9,17,PGGEE,0.4
15,Dorados,16,4,2,10,18,31,-13,14,GPGEG,1.2
16,Veracruz,16,2,8,6,17,32,-15,14,EGPPE,-2.6
17,Atlas,16,3,4,9,18,26,-8,13,GEPPE,-2.6
18,Chiapas,16,3,3,10,15,31,-16,12,PGPGE,-1.8
