JORNADA 9
	GRUPO 1		PJ	G	E	P	GF	GC	DIF	PTS
1	Monterrey	9	7	0	2	17	10	+7	21
2	Pachuca		9	5	3	1	18	9	+9	18
3	Leon		9	5	1	3	17	12	+5	16
4	America		9	4	3	2	18	13	+5	15
5	U.A.N.L		9	4	2	3	17	11	+6	14
6	CruzAzul	9	3	5	1	19	14	+5	14
7	Santos		9	4	2	3	11	10	+1	14
8	Puebla		9	3	4	2	14	14	0	13
9	Tijuana		9	2	6	1	10	10	0	12
10	Chiapas		8	3	2	3	11	11	0	11
11	PumasUNAM	9	2	5	2	11	11	0	11
12	Morelia		8	2	4	2	10	12	-2	10
13	Guadalajara	9	1	6	2	10	11	-1	9
14	Queretaro	9	2	2	5	10	14	-4	8
15	Atlas		9	2	2	5	9	15	-6	8
16	Toluca		9	1	4	4	10	16	-6	7
17	Veracruz	9	0	6	3	10	17	-7	6
18	Dorados		9	1	1	7	8	20	-12	4
